covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
age,0.01657763464574182,1.0167158060936177,0.0003217846231098725,0.015946948373667672,0.017208320917815965,1.0160747795566802,1.0173572370447077,0.0,51.51779623752074,0.0,inf
sex_female,-0.022094705038028746,0.9781475951593498,0.016694202275057215,-0.05481474024776752,0.01062533017171003,0.9466605098007301,1.0106819794536668,0.0,-1.3234957067125284,0.18567058309764942,2.429182836323471
predicted_class_HYP,0.3542322175444004,1.4250860780485912,0.05321491914454696,0.2499328925808773,0.45853154250792344,1.2839392519471187,1.5817495467702707,0.0,6.65663357642627,2.8017050823702774e-11,35.054903943307984
predicted_class_MI,0.5959090767578716,1.814679878643606,0.03438909575757081,0.5285076876121337,0.6633104659036095,1.696398861705524,1.94120801203745,0.0,17.328431109639784,2.870527882470967e-67,221.04786628835961
predicted_class_NORM,0.9402991577024741,2.5607473710533712,0.030410613982165005,0.8806954495496805,0.9999028658552677,2.412576948683452,2.7180178033016325,0.0,30.920097774215733,6.413501387399403e-210,694.9237877293934
predicted_class_STTC,1.2144893908435817,3.368573600592189,0.03504940118509477,1.1457938268411003,1.283184954846063,3.144936901518935,3.6081131221189633,0.0,34.65078859492925,4.346458428005929e-263,871.5472486094509
